	question	class
557	Můžu získat  patentovat vědecké teorie?	29
558	Mohu získat  patentovat vědecké teorie?	29
559	Může se získat  patentovat vědecké teorie?	29
560	Je možné  mít  patentovat vědecké teorie?	29
561	Lze  mít  patentovat vědecké teorie?	29
562	Můžu  mít  patentovat vědecké teorie?	29
563	Mohu  mít  patentovat vědecké teorie?	29
564	Může se mít  patentovat vědecké teorie?	29
565	Je možné  dostat patentovat vědecké teorie?	29
566	Lze  dostat patentovat vědecké teorie?	29
567	Můžu  dostat patentovat vědecké teorie?	29
568	Mohu  dostat patentovat vědecké teorie?	29
569	Může se dostat patentovat vědecké teorie?	29
570	Na jaké vynálezy jsou udělovány patenty ?	29
571	Na jaké vynálezy je možné udělit patent ?	29
572	Na jaké vynálezy může být udělen patent?	29
573	Jaké jsou zásady pro udělování patentů?	29
574	Je možné získat patent na estetický výtvor?	29
575	Lze získat patent na estetický výtvor?	29
576	Můžu získat patent na estetický výtvor?	29
577	Mohu získat patent na estetický výtvor?	29
578	Může se získat patent na estetický výtvor?	29
579	Je možné  mít patent na estetický výtvor?	29
580	Lze  mít patent na estetický výtvor?	29
581	Můžu  mít patent na estetický výtvor?	29
582	Mohu  mít patent na estetický výtvor?	29
583	Může se mít patent na estetický výtvor?	29
584	Je možné  dostat patent na estetický výtvor?	29
585	Lze  dostat patent na estetický výtvor?	29
586	Můžu  dostat patent na estetický výtvor?	29
587	Mohu  dostat patent na estetický výtvor?	29
588	Může se dostat patent na estetický výtvor?	29
589	Je možné získat  patentovat estetický výtvor?	29
590	Lze získat  patentovat estetický výtvor?	29
591	Můžu získat  patentovat estetický výtvor?	29
592	Mohu získat  patentovat estetický výtvor?	29
593	Může se získat  patentovat estetický výtvor?	29
594	Je možné  mít  patentovat estetický výtvor?	29
595	Lze  mít  patentovat estetický výtvor?	29
596	Můžu  mít  patentovat estetický výtvor?	29
597	Mohu  mít  patentovat estetický výtvor?	29
598	Může se mít  patentovat estetický výtvor?	29
599	Je možné  dostat patentovat estetický výtvor?	29
600	Lze  dostat patentovat estetický výtvor?	29
601	Můžu  dostat patentovat estetický výtvor?	29
602	Mohu  dostat patentovat estetický výtvor?	29
603	Může se dostat patentovat estetický výtvor?	29
604	Je možné získat patent na novou odrůdu rostliny?	29
605	Lze získat patent na novou odrůdu rostliny?	29
606	Můžu získat patent na novou odrůdu rostliny?	29
607	Mohu získat patent na novou odrůdu rostliny?	29
608	Může se získat patent na novou odrůdu rostliny?	29
609	Je možné  mít patent na novou odrůdu rostliny?	29
610	Lze  mít patent na novou odrůdu rostliny?	29
611	Můžu  mít patent na novou odrůdu rostliny?	29
612	Mohu  mít patent na novou odrůdu rostliny?	29
613	Může se mít patent na novou odrůdu rostliny?	29
614	Je možné  dostat patent na novou odrůdu rostliny?	29
615	Lze  dostat patent na novou odrůdu rostliny?	29
616	Můžu  dostat patent na novou odrůdu rostliny?	29
617	Mohu  dostat patent na novou odrůdu rostliny?	29
618	Může se dostat patent na novou odrůdu rostliny?	29
619	Je možné získat  patentovat novou odrůdu rostliny?	29
620	Lze získat  patentovat novou odrůdu rostliny?	29
621	Můžu získat  patentovat novou odrůdu rostliny?	29
622	Mohu získat  patentovat novou odrůdu rostliny?	29
623	Může se získat  patentovat novou odrůdu rostliny?	29
624	Je možné  mít  patentovat novou odrůdu rostliny?	29
625	Lze  mít  patentovat novou odrůdu rostliny?	29
626	Můžu  mít  patentovat novou odrůdu rostliny?	29
627	Mohu  mít  patentovat novou odrůdu rostliny?	29
628	Může se mít  patentovat novou odrůdu rostliny?	29
629	Je možné  dostat patentovat novou odrůdu rostliny?	29
630	Lze  dostat patentovat novou odrůdu rostliny?	29
631	Můžu  dostat patentovat novou odrůdu rostliny?	29
632	Mohu  dostat patentovat novou odrůdu rostliny?	29
633	Může se dostat patentovat novou odrůdu rostliny?	29
634	Je možné získat patentovat i na biotechnologické postupy a produkty?	29
635	Lze získat patentovat i na biotechnologické postupy a produkty?	29
636	Můžu získat patentovat i na biotechnologické postupy a produkty?	29
637	Mohu získat patentovat i na biotechnologické postupy a produkty?	29
638	Může se získat patentovat i na biotechnologické postupy a produkty?	29
639	Je možné  mít patentovat i na biotechnologické postupy a produkty?	29
640	Lze  mít patentovat i na biotechnologické postupy a produkty?	29
641	Můžu  mít patentovat i na biotechnologické postupy a produkty?	29
642	Mohu  mít patentovat i na biotechnologické postupy a produkty?	29
643	Může se mít patentovat i na biotechnologické postupy a produkty?	29
644	Je možné  dostat patentovat i na biotechnologické postupy a produkty?	29
645	Lze  dostat patentovat i na biotechnologické postupy a produkty?	29
646	Můžu  dostat patentovat i na biotechnologické postupy a produkty?	29
647	Mohu  dostat patentovat i na biotechnologické postupy a produkty?	29
648	Může se dostat patentovat i na biotechnologické postupy a produkty?	29
649	Je možné získat  patenty i na biotechnologické postupy a produkty?	29
650	Lze získat  patenty i na biotechnologické postupy a produkty?	29
651	Můžu získat  patenty i na biotechnologické postupy a produkty?	29
652	Mohu získat  patenty i na biotechnologické postupy a produkty?	29
653	Může se získat  patenty i na biotechnologické postupy a produkty?	29
654	Je možné  mít  patenty i na biotechnologické postupy a produkty?	29
655	Lze  mít  patenty i na biotechnologické postupy a produkty?	29
656	Můžu  mít  patenty i na biotechnologické postupy a produkty?	29
657	Mohu  mít  patenty i na biotechnologické postupy a produkty?	29
658	Může se mít  patenty i na biotechnologické postupy a produkty?	29
659	Je možné  dostat patenty i na biotechnologické postupy a produkty?	29
660	Lze  dostat patenty i na biotechnologické postupy a produkty?	29
661	Můžu  dostat patenty i na biotechnologické postupy a produkty?	29
662	Mohu  dostat patenty i na biotechnologické postupy a produkty?	29
663	Může se dostat patenty i na biotechnologické postupy a produkty?	29
664	Je možné získat  patent i na biotechnologické postupy a produkty?	29
665	Lze získat  patent i na biotechnologické postupy a produkty?	29
666	Můžu získat  patent i na biotechnologické postupy a produkty?	29
667	Mohu získat  patent i na biotechnologické postupy a produkty?	29
668	Může se získat  patent i na biotechnologické postupy a produkty?	29
669	Je možné  mít  patent i na biotechnologické postupy a produkty?	29
670	Lze  mít  patent i na biotechnologické postupy a produkty?	29
671	Můžu  mít  patent i na biotechnologické postupy a produkty?	29
672	Mohu  mít  patent i na biotechnologické postupy a produkty?	29
673	Může se mít  patent i na biotechnologické postupy a produkty?	29
674	Je možné  dostat patent i na biotechnologické postupy a produkty?	29
675	Lze  dostat patent i na biotechnologické postupy a produkty?	29
676	Můžu  dostat patent i na biotechnologické postupy a produkty?	29
677	Mohu  dostat patent i na biotechnologické postupy a produkty?	29
678	Může se dostat patent i na biotechnologické postupy a produkty?	29
679	Lze získat patent na program pro počítače?	29
680	Lze získat patent na software?	29
681	Co nelze patentovat?	29
682	Co nejde patentovat?	29
683	Co není možné patentovat?	29
684	Co nemůžu patentovat?	29
685	Je možné získat patent na léčebný postup pro zvířata?	29
686	Lze získat patent na léčebný postup pro zvířata?	29
687	Můžu získat patent na léčebný postup pro zvířata?	29
688	Mohu získat patent na léčebný postup pro zvířata?	29
689	Může se získat patent na léčebný postup pro zvířata?	29
690	Je možné  mít patent na léčebný postup pro zvířata?	29
691	Lze  mít patent na léčebný postup pro zvířata?	29
692	Můžu  mít patent na léčebný postup pro zvířata?	29
693	Mohu  mít patent na léčebný postup pro zvířata?	29
694	Může se mít patent na léčebný postup pro zvířata?	29
695	Je možné  dostat patent na léčebný postup pro zvířata?	29
696	Lze  dostat patent na léčebný postup pro zvířata?	29
697	Můžu  dostat patent na léčebný postup pro zvířata?	29
698	Mohu  dostat patent na léčebný postup pro zvířata?	29
699	Může se dostat patent na léčebný postup pro zvířata?	29
700	Je možné získat  patentovat léčebný postup pro zvířata?	29
701	Lze získat  patentovat léčebný postup pro zvířata?	29
702	Můžu získat  patentovat léčebný postup pro zvířata?	29
703	Mohu získat  patentovat léčebný postup pro zvířata?	29
704	Může se získat  patentovat léčebný postup pro zvířata?	29
705	Je možné  mít  patentovat léčebný postup pro zvířata?	29
706	Lze  mít  patentovat léčebný postup pro zvířata?	29
707	Můžu  mít  patentovat léčebný postup pro zvířata?	29
708	Mohu  mít  patentovat léčebný postup pro zvířata?	29
709	Může se mít  patentovat léčebný postup pro zvířata?	29
710	Je možné  dostat patentovat léčebný postup pro zvířata?	29
711	Lze  dostat patentovat léčebný postup pro zvířata?	29
712	Můžu  dostat patentovat léčebný postup pro zvířata?	29
713	Mohu  dostat patentovat léčebný postup pro zvířata?	29
714	Může se dostat patentovat léčebný postup pro zvířata?	29
715	ověření novosti vynálezu	30
716	novost vynálezu	30
717	jedna z podmínek patentovatelnosti	30
718	podmínka patentovatelnosti	30
719	Jak  lze provést rešerši patentů?	30
720	Kde lze provést rešerši patentů?	30
721	Jak  můžu provést rešerši patentů?	30
722	Kde můžu provést rešerši patentů?	30
723	Jak  mohu provést rešerši patentů?	30
724	Kde mohu provést rešerši patentů?	30
725	Jak  se může provést rešerši patentů?	30
726	Kde se může provést rešerši patentů?	30
727	Jak  lze  udělat rešerši patentů?	30
728	Kde lze  udělat rešerši patentů?	30
729	Jak  můžu  udělat rešerši patentů?	30
730	Kde můžu  udělat rešerši patentů?	30
731	Jak  mohu  udělat rešerši patentů?	30
732	Kde mohu  udělat rešerši patentů?	30
733	Jak  se může udělat rešerši patentů?	30
734	Kde se může udělat rešerši patentů?	30
735	Jak  lze  provedu rešerši patentů?	30
736	Kde lze  provedu rešerši patentů?	30
737	Jak  můžu  provedu rešerši patentů?	30
738	Kde můžu  provedu rešerši patentů?	30
739	Jak  mohu  provedu rešerši patentů?	30
740	Kde mohu  provedu rešerši patentů?	30
741	Jak  se může provedu rešerši patentů?	30
742	Kde se může provedu rešerši patentů?	30
743	Jak  lze  udělám rešerši patentů?	30
744	Kde lze  udělám rešerši patentů?	30
745	Jak  můžu  udělám rešerši patentů?	30
746	Kde můžu  udělám rešerši patentů?	30
747	Jak  mohu  udělám rešerši patentů?	30
748	Kde mohu  udělám rešerši patentů?	30
749	Jak  se může udělám rešerši patentů?	30
750	Kde se může udělám rešerši patentů?	30
751	odkaz pro ověření novosti vynálezu	30
752	zdroje pro ověření novosti vynálezu	30
753	zahraniční databáze pro ověření novosti vynálezu	30
754	patentová rešerše	30
755	rešerše patentu	30
756	Jak podat objednávku patentové rešerše u Úřadu?	30
757	Kde podat objednávku patentové rešerše u Úřadu?	30
758	Jak  objednat patentovou rešerši u Úřadu?	30
759	Kde objednat patentovou rešerši u Úřadu?	30
760	objednávka patentové rešerše	30
761	rešeršní služby úřadu pro vynálezy	30
762	Jaká je výše správního poplatku za podání přihlášky vynálezu ?	31
763	Jaká je výše správního poplatku za podání přihlášky patentu?	31
764	poplatek za podání přihlášky vynálezu	31
765	poplatek za podání přihlášky patentu	31
766	sleva při elektronickém podání přihlášky vynálezu	31
767	sleva při elektronickém podání přihlášky patentu	31
768	poplatky patentu v platnosti	31
769	poplatek patentu v platnosti	31
770	udržovací poplatek patentu v platnosti	31
771	poplatek za udržování patentu v platnosti	31
772	Jak je možné uhradit správní poplatek za podání přihlášky vynálezu ?	31
773	Jak lze uhradit správní poplatek za podání přihlášky vynálezu ?	31
774	Jak můžu uhradit správní poplatek za podání přihlášky vynálezu ?	31
775	Jak mohu uhradit správní poplatek za podání přihlášky vynálezu ?	31
776	Jak je možné  zaplatit správní poplatek za podání přihlášky vynálezu ?	31
777	Jak lze  zaplatit správní poplatek za podání přihlášky vynálezu ?	31
778	Jak můžu  zaplatit správní poplatek za podání přihlášky vynálezu ?	31
779	Jak mohu zaplatit správní poplatek za podání přihlášky vynálezu ?	31
780	Jak je možné uhradit správní poplatek za podání přihlášky patentu?	31
781	Jak lze uhradit správní poplatek za podání přihlášky patentu?	31
782	Jak můžu uhradit správní poplatek za podání přihlášky patentu?	31
783	Jak mohu uhradit správní poplatek za podání přihlášky patentu?	31
784	Jak je možné  zaplatit správní poplatek za podání přihlášky patentu?	31
785	Jak lze  zaplatit správní poplatek za podání přihlášky patentu?	31
786	Jak můžu  zaplatit správní poplatek za podání přihlášky patentu?	31
787	Jak mohu zaplatit správní poplatek za podání přihlášky patentu?	31
788	Jaký hradí poplatek po udělení patentu?	31
789	Jaký se hradí poplatek po udělení patentu?	31
790	Který hradí poplatek po udělení patentu?	31
791	Který se hradí poplatek po udělení patentu?	31
792	Jak hradí poplatek po udělení patentu?	31
793	Jak se hradí poplatek po udělení patentu?	31
794	Jaký  platí poplatek po udělení patentu?	31
795	Jaký se  platí poplatek po udělení patentu?	31
796	Který  platí poplatek po udělení patentu?	31
797	Který se  platí poplatek po udělení patentu?	31
798	Jak  platí poplatek po udělení patentu?	31
799	Jak se platí poplatek po udělení patentu?	31
800	Jaký  mám zaplatit poplatek po udělení patentu?	31
801	Jaký se  mám zaplatit poplatek po udělení patentu?	31
802	Který  mám zaplatit poplatek po udělení patentu?	31
803	Který se  mám zaplatit poplatek po udělení patentu?	31
804	Jak  mám zaplatit poplatek po udělení patentu?	31
805	Jak se mám zaplatit poplatek po udělení patentu?	31
806	Jaký  zaplatit poplatek po udělení patentu?	31
807	Jaký se  zaplatit poplatek po udělení patentu?	31
808	Který  zaplatit poplatek po udělení patentu?	31
809	Který se  zaplatit poplatek po udělení patentu?	31
810	Jak  zaplatit poplatek po udělení patentu?	31
811	Jak se zaplatit poplatek po udělení patentu?	31
812	Jaký  uhradit poplatek po udělení patentu?	31
813	Jaký se  uhradit poplatek po udělení patentu?	31
814	Který  uhradit poplatek po udělení patentu?	31
815	Který se  uhradit poplatek po udělení patentu?	31
816	Jak  uhradit poplatek po udělení patentu?	31
817	Jak se uhradit poplatek po udělení patentu?	31
818	možnosti platby udržovacího poplatku	31
819	variabilní symbol při platbě udržovacího poplatku	31
820	informace o platbě poplatků za udělený patent	31
821	informace o platbě poplatků za udělený vynález	31
822	udržování patentu v platnosti	31
823	Jak dlouho trvá zpracování patentové rešerše?	32
824	expresní patentové rešerše	32
825	Poskytuje úřad rychlou patentovou rešerši?	32
826	provádí úřad rychlou patentovou rešerši?	32
827	delá úřad rychlou patentovou rešerši?	32
828	provádíte rychlou patentovou rešerši?	32
829	děláte rychlou patentovou rešerši?	32
830	Poskytujete rychlou patentovou rešerši?	32
831	Poskytuje úřad  expresní patentovou rešerši?	32
832	provádí úřad  expresní patentovou rešerši?	32
833	delá úřad  expresní patentovou rešerši?	32
834	provádíte  expresní patentovou rešerši?	32
835	děláte  expresní patentovou rešerši?	32
836	Poskytujete expresní patentovou rešerši?	32
837	Doba zpracování patentové rešerše	32
838	Doba zpracování rešerše patentů úřadem	32
839	Existuje způsob, jak urychlit patentovou rešerši?	32
840	Jak dlouho obvykle trvá, než obdržím výsledky patentové rešerše?	32
841	Jak dlouho obvykle trvá, než dostanu výsledky patentové rešerše?	32
842	Poskytuje úřad služby expresních patentových rešerší?	32
843	provádí úřad služby expresních patentových rešerší?	32
844	delá úřad služby expresních patentových rešerší?	32
845	provádíte služby expresních patentových rešerší?	32
846	děláte služby expresních patentových rešerší?	32
847	Poskytujete služby expresních patentových rešerší?	32
848	V čem je rozdíl mezi patentem a užitným vzorem?	33
849	Jaký je rozdíl mezi patentem a užitným vzorem?	33
850	vysvětli rozdíl mezi patentem a užitným vzorem?	33
851	pověz mi rozdíl mezi patentem a užitným vzorem?	33
852	řekni mi rozdíl mezi patentem a užitným vzorem?	33
853	řekni mi, jaký je rozdíl mezi patentem a užitným vzorem?	33
854	Jak se liší patenty a užitné vzory ?	33
855	čím se liší patenty a užitné vzory ?	33
856	Jak se liší patenty od užitných vzorů?	33
857	čím se liší patenty od užitných vzorů?	33
858	Jak se liší patent a užitný vzor ?	33
859	čím se liší patent a užitný vzor ?	33
860	Jak se liší patent od užitného vzoru?	33
861	čím se liší patent od užitného vzoru?	33
862	Co lze chránit patentem a co užitným vzorem?	33
863	Co je možné chránit patentem a co užitným vzorem?	33
864	Co se může chránit patentem a co užitným vzorem?	33
865	Mohou být ochráněny stejné věci patenty a užitnými vzory?	33
866	Co znamená, že užitný vzor je zapsán na základě registračního principu?	33
867	Co je registrační princip u užitného vzoru?	33
868	Co znamená registrační princip u užitného vzoru?	33
869	Kdy je lepší zvolit ochranu pomocí užitného vzoru?	33
870	Kdy je výhodnější zvolit ochranu pomocí užitného vzoru?	33
871	Kdy je lepší zvolit užitný vzor?	33
872	Kdy je výhodnější zvolit užitný vzor?	33
873	Kdy je vhodnější zvolit užitný vzor?	33
874	Kdy je ideální zvolit užitný vzor?	33
875	Pro co je ideální ochrana užitným vzorem?	33
876	Pro jaké objekty je ideální ochrana užitným vzorem?	33
877	Pro jaké předměty je ideální ochrana užitným vzorem?	33
878	Pro co je lepší ochrana užitným vzorem?	33
879	Pro jaké objekty je lepší ochrana užitným vzorem?	33
880	Pro jaké předměty je lepší ochrana užitným vzorem?	33
881	Pro co je vhodnější ochrana užitným vzorem?	33
882	Pro jaké objekty je vhodnější ochrana užitným vzorem?	33
883	Pro jaké předměty je vhodnější ochrana užitným vzorem?	33
884	rozdíl v nákladech na patent a užitný vzor	33
885	Jak dlouho platí patent a jak dlouho užitný vzor?	33
886	Jak dlouho může platit patent a jak dlouho užitný vzor?	33
887	Proč bych měl zvolit ochranu užitným vzorem namísto patentu?	33
888	Co je užitný vzor?	34
889	Jaké jsou výhody zápisu užitného vzoru oproti patentu?	34
890	definice užitného vzoru	34
891	Co se dá chránit užitným vzorem?	34
892	Co lze chránit užitným vzorem?	34
893	Co je možné chránit užitným vzorem?	34
894	Jsou předměty chránitelné patentem a užitným vzorem srovnatelné?	34
895	Jak dlouho trvá zápis užitného vzoru?	34
896	Za jak dlouho je užitný vzor zapsán do rejstříku?	34
897	Jsou účinky zápisu užitného vzoru stejné jako u patentu?	34
898	Jsou účinky zápisu užitného vzoru srovnatelné jako u patentu?	34
899	Jak  lze provést rešerši užitných vzorů?	35
900	Kde  lze provést rešerši užitných vzorů?	35
901	Jakým způsobem lze provést rešerši užitných vzorů?	35
902	Jak  můžu provést rešerši užitných vzorů?	35
903	Kde  můžu provést rešerši užitných vzorů?	35
904	Jakým způsobem můžu provést rešerši užitných vzorů?	35
905	Jak  mohu provést rešerši užitných vzorů?	35
906	Kde  mohu provést rešerši užitných vzorů?	35
907	Jakým způsobem mohu provést rešerši užitných vzorů?	35
908	Jak  se může provést rešerši užitných vzorů?	35
909	Kde  se může provést rešerši užitných vzorů?	35
910	Jakým způsobem se může provést rešerši užitných vzorů?	35
911	Jak  lze  udělat rešerši užitných vzorů?	35
912	Kde  lze  udělat rešerši užitných vzorů?	35
913	Jakým způsobem lze  udělat rešerši užitných vzorů?	35
914	Jak  můžu  udělat rešerši užitných vzorů?	35
915	Kde  můžu  udělat rešerši užitných vzorů?	35
916	Jakým způsobem můžu  udělat rešerši užitných vzorů?	35
917	Jak  mohu  udělat rešerši užitných vzorů?	35
918	Kde  mohu  udělat rešerši užitných vzorů?	35
919	Jakým způsobem mohu  udělat rešerši užitných vzorů?	35
920	Jak  se může udělat rešerši užitných vzorů?	35
921	Kde  se může udělat rešerši užitných vzorů?	35
922	Jakým způsobem se může udělat rešerši užitných vzorů?	35
923	Jak  lze  provedu rešerši užitných vzorů?	35
924	Kde  lze  provedu rešerši užitných vzorů?	35
925	Jakým způsobem lze  provedu rešerši užitných vzorů?	35
926	Jak  můžu  provedu rešerši užitných vzorů?	35
927	Kde  můžu  provedu rešerši užitných vzorů?	35
928	Jakým způsobem můžu  provedu rešerši užitných vzorů?	35
929	Jak  mohu  provedu rešerši užitných vzorů?	35
930	Kde  mohu  provedu rešerši užitných vzorů?	35
931	Jakým způsobem mohu  provedu rešerši užitných vzorů?	35
932	Jak  se může provedu rešerši užitných vzorů?	35
933	Kde  se může provedu rešerši užitných vzorů?	35
934	Jakým způsobem se může provedu rešerši užitných vzorů?	35
935	Jak  lze  udělám rešerši užitných vzorů?	35
936	Kde  lze  udělám rešerši užitných vzorů?	35
937	Jakým způsobem lze  udělám rešerši užitných vzorů?	35
938	Jak  můžu  udělám rešerši užitných vzorů?	35
939	Kde  můžu  udělám rešerši užitných vzorů?	35
940	Jakým způsobem můžu  udělám rešerši užitných vzorů?	35
941	Jak  mohu  udělám rešerši užitných vzorů?	35
942	Kde  mohu  udělám rešerši užitných vzorů?	35
943	Jakým způsobem mohu  udělám rešerši užitných vzorů?	35
944	Jak  se může udělám rešerši užitných vzorů?	35
945	Kde  se může udělám rešerši užitných vzorů?	35
946	Jakým způsobem se může udělám rešerši užitných vzorů?	35
947	objednávka rešerše užitných vzorů	35
948	rešerše užitných vzorů	35
949	Jaký je postup objednání rešeršních služeb pro užitné vzory Úřadu?	35
950	Jak podat objednávku rešerše užitných vzorů u Úřadu?	35
951	Kde podat objednávku rešerše užitných vzorů u Úřadu?	35
952	Jak  objednat rešerši užitných vzorů u Úřadu?	35
953	Kde objednat rešerši užitných vzorů u Úřadu?	35
954	Za jak dlouho je hotová rešerše užitných vzorů?	35
955	Jak dlouho trvá rešerše užitných vzorů?	35
956	expresní rešeršní služby užitných vzorů	35
957	8.rešeršní služby Úřadu k užitným vzorům	35
958	8.rešeršní služby Úřadu pro užitné vzory	35
959	rešerše užitných vzorů úřadem	35
960	poplatek za přihlášku užitného vzoru	36
961	poplatek za podání přihlášky užitného vzoru	36
962	Kolik stojí podání přihlášky užitného vzoru?	36
963	Kolik stojí přihláška užitného vzoru?	36
964	Kolik stojí přihlášení užitného vzoru?	36
965	sleva na správní poplatek při elektronickém podání přihlášky užitného vzoru	36
966	možnosti zaplacení správního poplatku za podání přihlášky užitného vzoru	36
967	poplatek za prodloužení platnosti zápisu užitného vzoru	36
968	poplatek za prodloužení platnosti užitného vzoru	36
969	Jak mohu prodloužit platnost zápisu užitného vzoru?	36
970	jakým způsobem mohu prodloužit platnost zápisu užitného vzoru?	36
971	Jak  můžu prodloužit platnost zápisu užitného vzoru?	36
972	jakým způsobem můžu prodloužit platnost zápisu užitného vzoru?	36
973	Jak  mám prodloužit platnost zápisu užitného vzoru?	36
974	jakým způsobem mám prodloužit platnost zápisu užitného vzoru?	36
975	Doba platnosti zápisu užitného vzoru	36
976	maximální doba platnosti zápisu užitného vzoru	36
977	obnova platnosti užitného vzoru	36
978	formulář pro obnovu platnosti užitného vzoru	36
979	formulář prodloužeí platnosti užitného vzoru	36
980	Kde se mohu podívat na souhrnnou informaci o poplatcích?	37
981	Kde najdu souhrnnou informaci o poplatcích?	37
982	přehled všech poplatků	37
983	sazebník úhrad nákladů	37
984	Kde na webu UPV jsou informace o poplatcích?	37
985	souhrn poplatků	37
986	souhrn správnch poplatků	37
987	přehled poplatků	37
988	obecně o poplatcích	37
989	ceník	37
990	Můžete mi sdělit , kde najdu přehled poplatků?	37
991	Můžete mi říct , kde najdu přehled poplatků?	37
992	Můžete mi dát odkaz, kde najdu přehled poplatků?	37
993	Jak mohu dohledat sazebník úhrad nákladů?	37
994	Kde mohu najít informace o cenách ?	37
995	Kde mohu najít informace o poplatcích?	37
996	Kde mohu najít přehled všech poplatků na webu UPV?	37
997	Kde můžu najít přehled všech poplatků na webu UPV?	37
998	Kde najdu přehled všech poplatků na webu UPV?	37
999	Kde je přehled všech poplatků na webu UPV?	37
1000	možnosti úhrady poplatků	38
1001	možnosti úhrady poplatků obecně	38
1002	Mohu poplatky uhradit v hotovosti na pokladně Úřadu?	38
1003	Lze poplatky uhradit v hotovosti na pokladně Úřadu?	38
1004	Můžu poplatky uhradit v hotovosti na pokladně Úřadu?	38
1005	Je možné poplatky uhradit v hotovosti na pokladně Úřadu?	38
1006	Co když chci poplatky uhradit v hotovosti na pokladně Úřadu?	38
1007	Mohu poplatky zaplatit v hotovosti na pokladně Úřadu?	38
1008	Lze poplatky zaplatit v hotovosti na pokladně Úřadu?	38
1009	Můžu poplatky zaplatit v hotovosti na pokladně Úřadu?	38
1010	Je možné poplatky zaplatit v hotovosti na pokladně Úřadu?	38
1011	Co když chci poplatky zaplatit v hotovosti na pokladně Úřadu?	38
1012	Mohu možné poplatky zaplatit bankovním převodem?	38
1013	Lze možné poplatky zaplatit bankovním převodem?	38
1014	Můžu možné poplatky zaplatit bankovním převodem?	38
1015	Je možné možné poplatky zaplatit bankovním převodem?	38
1016	Co když chci možné poplatky zaplatit bankovním převodem?	38
1017	Mohu poplatky uhradit složenkou?	38
1018	Lze poplatky uhradit složenkou?	38
1019	Můžu poplatky uhradit složenkou?	38
1020	Je možné poplatky uhradit složenkou?	38
1021	Co když chci poplatky uhradit složenkou?	38
1022	Mohu  poplatek zaplatit kolky?	38
1023	Lze  poplatek zaplatit kolky?	38
1024	Můžu  poplatek zaplatit kolky?	38
1025	Je možné  poplatek zaplatit kolky?	38
1026	Co když chci poplatek zaplatit kolky?	38
1027	informace o výši poplatků	38
1028	informace o platbě poukázkou, platbě kauce a platbách do Evropského patentového úřadu	38
1029	Jaké jsou podmínky přijímání dokumentů na podatelně Úřadu?	38
1030	Kde se mohu informovat o provozu podatelny Úřadu?	38
1031	Informace o provozu podatelny	38
1032	formát variabilního symbolu pro platbu poplatků Úřadu	39
1033	Jak je vytvářen variabilní symbol, když je podání odesíláno elektronicky?	39
1034	Jaké pravidla platí pro tvorbu variabilního symbolu pro platbu poplatků?	39
1035	variabilní symbol pro platbu poplatků před Úřadem	39
1036	Kde najdu informace o variabilních symbolech pro platbu poplatků?	39
1037	Kde jsou informace o variabilních symbolech pro platbu poplatků?	39
1038	Kde mohu najít informace o variabilních symbolech pro platbu poplatků?	39
1039	Kde můžu najít informace o variabilních symbolech pro platbu poplatků?	39
1040	Jak je generován variabilní symbol pro platbu poplatků?	39
1041	Jakým způsobem je generován variabilní symbol pro platbu poplatků?	39
1042	Jak  se generuje variabilní symbol pro platbu poplatků?	39
1043	Jakým způsobem se generuje variabilní symbol pro platbu poplatků?	39
1044	tvorba variabilního symbolu pro platbu poplatků	39
1045	variabilní symbol	39
1046	počet míst variabilního symbolu	39
1047	variabilní symbol pro elektronické podání	39
1048	právní předpisy týkající se poplatků	40
1049	právní předpisy ohledně poplatků	40
1050	právní předpisy k poplatkům	40
1051	právní předpisy ke správním poplatkům	40
1052	Jaké předpisy se týkají poplatků?	40
1053	Které předpisy se týkají poplatků?	40
1054	Kde lze najít předpisy týkající se poplatků?	40
1055	Kde najdu předpisy týkající se poplatků?	40
1056	Kde mohu najít předpisy týkající se poplatků?	40
1057	Kde můžu najít předpisy týkající se poplatků?	40
1058	Kde lze najít předpisy ohledně poplatků?	40
1059	Kde najdu předpisy ohledně poplatků?	40
1060	Kde mohu najít předpisy ohledně poplatků?	40
1061	Kde můžu najít předpisy ohledně poplatků?	40
1062	Kde lze najít informace o předpisech k popatkům?	40
1063	Kde najdu informace o předpisech k popatkům?	40
1064	Kde mohu najít informace o předpisech k popatkům?	40
1065	Kde můžu najít informace o předpisech k popatkům?	40
1066	zákony o poplatcích	40
1067	Kde najdu zákony, které se týkají poplatků	40
1068	Jaké právní předpisy upravují poplatky?	40
1069	Jaké právní předpisy regulují poplatky?	40
1070	seznam právních předpisů, které regulují poplatky	40
1071	seznam právních předpisů, které upravují poplatky	40
1072	Jaký je význam průmyslového vzoru?	41
1073	Co je průmyslový vzor?	41
1074	definice průmyslového vzoru	41
1075	Můžete mi vysvětlit pojem průmyslový vzor?	41
1076	můžeš mi vysvětlit pojem průmyslový vzor?	41
1077	Jak se vytváří průmyslový vzor?	41
1078	Jakým způsobem se vytváří průmyslový vzor?	41
1079	Co přesně znamená průmyslový vzor?	41
1080	Co obnáší průmyslový vzor?	41
1081	charakteristiky průmyslového vzoru	41
1082	Jaké vlastnosti má průmyslový vzor?	41
1083	Můžete mi poskytnout definici průmyslového vzoru?	41
1084	můžeš mi poskytnout definici průmyslového vzoru?	41
1085	Můžete mi říct definici průmyslového vzoru?	41
1086	můžeš mi říct definici průmyslového vzoru?	41
